"keys";"?plural";"?context";"en"
"?pluralrule";"";"";"nplurals=2; plural=(n != 1);"
"AUTH_BROWSER_OPENING";"";"";"Opening browser..."
"AUTH_BROWSER_WAITING";"";"";"Waiting for browser..."
"AUTH_CHOOSE_LOOK_TITLE";"";"";"Choose your look"
"AUTH_DEEPLINK_FINISHING";"";"";"Finishing sign in..."
"AUTH_EMAIL_CONFIRMING";"";"";"Confirming login..."
"AUTH_EMAIL_PLACEHOLDER";"";"";"name@email.com"
"AUTH_EMAIL_PROMPT";"";"";"Enter your email"
"AUTH_EMAIL_TITLE";"";"";"Sign in with your email"
"AUTH_FAILED_TITLE";"";"";"Authentication failed"
"AUTH_GETTING_READY";"";"";"Getting you ready..."
"AUTH_LEGAL_CONSENT";"";"";"By continuing, you agree to Decentraland’s [color=#A0ABFF][url=""https://decentraland.org/terms/""]Terms of Service[/url][/color], [color=#A0ABFF][url=""https://decentraland.org/privacy/""]Privacy Policy[/url][/color] and [color=#A0ABFF][url=""https://decentraland.org/content/""]Content Policy[/url][/color]."
"AUTH_LETS_GO";"";"";"LET'S GO"
"AUTH_LOGIN_APPLE";"";"";"APPLE"
"AUTH_LOGIN_EMAIL";"";"";"CONTINUE WITH EMAIL"
"AUTH_LOGIN_GOOGLE";"";"";"GOOGLE"
"AUTH_LOGIN_METAMASK";"";"";"METAMASK"
"AUTH_LOGIN_WALLET_CONNECT";"";"";"WALLET CONNECT"
"AUTH_NAME_FIELD_LABEL";"";"";"Name"
"AUTH_NAME_SAFETY_HINT";"";"";"*Avoid using your real name for safety"
"AUTH_OTP_SEND_CODE_FAILED";"";"";"Couldn't send code. Please check your email and try again."
"AUTH_PICK_NAME_TITLE";"";"";"Pick your name"
"AUTH_PLAY_AS_GUEST";"";"";"PLAY AS GUEST"
"AUTH_QUICK_DIVE";"";"";"QUICK DIVE (DISPOSABLE ACCOUNT)"
"AUTH_SIGNED_IN_AS";"";"";"You're signed in as"
"AUTH_SIGNED_IN_AS_NAME";"";"";"You're signed in as
{name}."
"AUTH_SIGN_IN_BUTTON";"";"";"SIGN IN"
"AUTH_SIGN_IN_TITLE";"";"";"Sign in to Decentraland"
"AUTH_UPDATE_BODY";"";"";"A new version of Decentraland is available. Update for the best experience."
"AUTH_UPDATE_TITLE";"";"";"New Version Available"
"AUTH_USE_ANOTHER_ACCOUNT";"";"";"Use another account"
"AUTH_WALLET_OPENING_METAMASK";"";"";"Opening MetaMask..."
"AUTH_WALLET_WAITING_METAMASK";"";"";"Waiting for MetaMask..."
"AUTH_WELCOME_BACK";"";"";"Welcome back"
"AUTH_WELCOME_TAGLINE";"";"";"Discover a world shaped
by its community"
"AUTH_WELCOME_TITLE";"";"";"Welcome to Decentraland"
"BACKPACK_ALL";"";"";"All"
"BACKPACK_ALL_CAPS";"";"";"ALL"
"BACKPACK_BACKPACK";"";"";"Backpack"
"BACKPACK_BODY";"";"";"BODY"
"BACKPACK_CLOTHING";"";"";"CLOTHING"
"BACKPACK_COLLECTIBLES";"";"";"Collectibles"
"BACKPACK_COLOR_LABEL";"";"";"{category} Color"
"BACKPACK_EMOTES";"";"";"Emotes"
"BACKPACK_EQUIPPED";"";"";"Equipped"
"BACKPACK_EXTRAS";"";"";"EXTRAS"
"BACKPACK_FACE";"";"";"FACE"
"BACKPACK_FIND_NEW_ONES_IN_THE_MARKETPLACE";"";"";"Find new ones in the
[color=#A0ABFF][url]Marketplace[/url][/color]"
"BACKPACK_NOTHING_HERE_YET";"";"";"Nothing here yet"
"BACKPACK_OUTFITS";"";"";"Outfits"
"BACKPACK_WEARABLES";"";"";"Wearables"
"CALENDAR_EVENT_LOCATION";"";"";"Decentraland at {x},{y}"
"CALENDAR_TIME_RANGE";"";"";"{start} to {end} {tz}"
"CHANGE_NICK_POPUP_A_NAME_COMES_WITH_A_WORLD";"";"";"A NAME comes with a World you can build and host events in and grants DAO Voting Power too!"
"CHANGE_NICK_POPUP_CLAIM_A_UNIQUE_NAME_FOR_THE";"";"";"Claim a unique NAME for the full Decentraland experience!"
"CHANGE_NICK_POPUP_CLAIM_NAME";"";"";"CLAIM NAME"
"CHANGE_NICK_POPUP_EDIT_USERNAME";"";"";"Edit Username"
"CHANGE_NICK_POPUP_SAVE";"";"";"SAVE"
"CHANGE_NICK_POPUP_USERNAME";"";"";"Username"
"CHATBAR_YOU_CAN_SWITCH_VERTICAL_CHAT_MODE";"";"";"You can switch vertical chat mode"
"CHAT_HEADER_NEARBY";"";"";"Nearby"
"CHAT_SEND";"";"";"SEND"
"CHAT_SYSTEM_CHANGING_REALM";"";"";"[color=#ccc]Trying to change to realm {realm}[/color]"
"CHAT_SYSTEM_CHANGING_WORLD";"";"";"[color=#ccc]Trying to change to world {world}[/color]"
"CHAT_SYSTEM_NO_CAMERA";"";"";"[color=#ccc]🔴 No active camera[/color]"
"CHAT_SYSTEM_SENDER";"";"";"System"
"CHAT_SYSTEM_TELEPORTED";"";"";"[color=#ccc]🟢 Teleported to {location}[/color]"
"CHAT_SYSTEM_UNKNOWN_COMMAND";"";"";"[color=#ccc]🔴 Unknown command[/color]"
"CHAT_SYSTEM_WELCOME";"";"";"[color=#cfc][b]Welcome to Decentraland! Respect others and have fun.[/b][/color]"
"CHAT_WRITE_A_MESSAGE";"";"";"Write a message"
"CHAT_WRITE_A_MESSAGE_ELLIPSIS";"";"";"Write a message..."
"CODE_MODAL_ENTER_VERIFICATION_CODE";"";"";"Enter verification code"
"CODE_MODAL_OTP_SENT_TO";"";"";"One time password sent to [b]{email}[/b]. Please enter the code below to complete verification."
"CODE_MODAL_RESEND_LINK_ACTIVE";"";"";"[u][color=#A0ABFF]Resend email[/color][/u]"
"CODE_MODAL_RESEND_LINK_DIMMED";"";"";"[u][color=#A0ABFFB3]Resend email ({minutes}:{seconds})[/color][/u]"
"CODE_MODAL_RESEND_PREFIX";"";"";"Didn't get an email? "
"CODE_MODAL_RESEND_PROMPT";"";"";"Didn't get an email? [u][color=A0ABFF]Resend email"
"CODE_MODAL_SENT_TO";"";"";"One time password sent to [b]your@email.com[/b]. Please enter the code below to complete verification."
"CODE_MODAL_THE_CODE_IS_INVALID_OR_EXPIRED";"";"";"The code is invalid or expired. Please resend code."
"CODE_MODAL_VERIFYING";"";"";"Verifying..."
"COLOR_CARROUSEL_HAIR_COLOR";"";"";"Hair Color"
"COLOR_PICKER_PRESETS";"";"";"PRESETS
"
"COMMON_ADD_EMAIL";"";"";"ADD EMAIL"
"COMMON_BLOCKED";"";"";"BLOCKED"
"COMMON_BY";"";"";"by"
"COMMON_CANCEL";"";"";"CANCEL"
"COMMON_DESCRIPTION";"";"";"DESCRIPTION"
"COMMON_DONE";"";"";"DONE"
"COMMON_EDIT";"";"";"EDIT"
"COMMON_EMAIL_ALREADY_LINKED";"";"";"This email is already linked to another account."
"COMMON_EMPTY_PARCEL";"";"";"Empty parcel"
"COMMON_JUMP_IN";"";"";"JUMP IN"
"COMMON_NEARBY";"";"";"NEARBY"
"COMMON_NEXT";"";"";"NEXT"
"COMMON_NOT_NOW";"";"";"NOT NOW"
"COMMON_OR";"";"";"or"
"COMMON_SOMEONE";"";"";"Someone"
"COMMON_SOMETHING_WENT_WRONG";"";"";"Ups! Something went wrong"
"COMMON_SOMETHING_WENT_WRONG_RETRY";"";"";"Something went wrong. Please try again."
"COMMON_TAP_TO_CONTINUE";"";"";"Tap to continue"
"COMMON_TOO_MANY_ATTEMPTS";"";"";"Too many attempts. Please wait a moment and try again."
"COMMON_TRY_AGAIN";"";"";"TRY AGAIN"
"COMMON_UNKNOWN_PLACE";"";"";"Unknown Place"
"COMMON_UNKNOWN_USER";"";"";"Unknown"
"COMMON_UNLOCK_THE_FULL_EXPERIENCE";"";"";"Unlock the full experience"
"COMMON_UPDATE";"";"";"UPDATE"
"CREDITS_AMOUNT_DEDUCTED";"";"";"-{amount}"
"CREDITS_BALANCE_CARD_MY_CREDITS";"";"";"My Credits"
"CREDITS_CREDITS";"";"";"Credits"
"CREDITS_HISTORY_ITEM_REFUND_DEDUCTION";"";"";"Refund Deduction"
"CREDITS_HISTORY_PURCHASE_HISTORY";"";"";"purchase history"
"CREDITS_PURCHASED";"CREDITS_PURCHASED_PLURAL";"";"Purchased {credits} CREDIT"
"";"";"";"Purchased {credits} CREDITS"
"CREDITS_PURCHASES";"";"";"Purchases"
"CREDITS_QUANTITY";"";"";"Credits x{amount}"
"CREDITS_SHOP_CREDITS_ARE_A_LIMITED_DIGITAL_IN";"";"";"Credits are a limited digital in-app utility purchased with real money via Apple. You can use Credits to acquire digital content, such as Wearables and Emotes, in the iOS App."
"CREDITS_SHOP_CREDITS_DO_NOT_EXPIRE_HOWEVER_THE";"";"";"Credits do not expire. However, the Foundation may set expiration dates or discontinue them in the future by providing at least 30 days of prior notice."
"CREDITS_SHOP_DO_CREDITS_EXPIRE";"";"";"Do Credits expire?"
"CREDITS_SHOP_FAQ";"";"";"FAQ"
"CREDITS_SHOP_LICENCE";"";"";"I agree that I am purchasing a limited license to use Credits governed by the [color=#E8B9FF][url=""https://decentraland.org/credits-terms""]Credits Terms[/url][/color]. By purchasing Credits, you agree to Decentraland's [color=#E8B9FF][url=""https://decentraland.org/terms""]Terms of Use[/url][/color] and [color=#E8B9FF][url=""https://decentraland.org/privacy""]Privacy Policy[/url][/color]."
"CREDITS_SHOP_WHAT_ARE_CREDITS";"";"";"What are Credits?"
"CUSTOM_BUTTON_SIGN_OUT";"";"";"SIGN OUT"
"CUSTOM_SLIDER_ERROR";"";"";"Error"
"DATE_AM";"";"";"am"
"DATE_MONTH_APR";"";"";"Apr"
"DATE_MONTH_AUG";"";"";"Aug"
"DATE_MONTH_DEC";"";"";"Dec"
"DATE_MONTH_FEB";"";"";"Feb"
"DATE_MONTH_JAN";"";"";"Jan"
"DATE_MONTH_JUL";"";"";"Jul"
"DATE_MONTH_JUN";"";"";"Jun"
"DATE_MONTH_MAR";"";"";"Mar"
"DATE_MONTH_MAY";"";"";"May"
"DATE_MONTH_NOV";"";"";"Nov"
"DATE_MONTH_OCT";"";"";"Oct"
"DATE_MONTH_SEP";"";"";"Sep"
"DATE_PM";"";"";"pm"
"DATE_SHORT_FORMAT";"";"";"{weekday}, {month} {day}."
"DATE_WEEKDAY_FRI";"";"";"Fri"
"DATE_WEEKDAY_MON";"";"";"Mon"
"DATE_WEEKDAY_SAT";"";"";"Sat"
"DATE_WEEKDAY_SUN";"";"";"Sun"
"DATE_WEEKDAY_THU";"";"";"Thu"
"DATE_WEEKDAY_TUE";"";"";"Tue"
"DATE_WEEKDAY_WED";"";"";"Wed"
"DIALOGS_CANCEL";"";"";"Cancel"
"DIALOGS_DESCRIPTION";"";"";"DESCRIPTION"
"DIALOGS_LOADING_NFT";"";"";"Loading NFT..."
"DIALOGS_NO";"";"";"No"
"DIALOGS_OWNER";"";"";"OWNER"
"DIALOGS_VIEW_ON_OPENSEA";"";"";"VIEW ON OPENSEA"
"DIALOGS_YES";"";"";"Yes"
"DIALOG_STACK_TABS";"";"";"Tabs: {count}"
